00771,Las Piedras,PR,18.1853,-65.8667,-6,0,771
00772,Loiza,PR,18.2022,-65.86,-6,0,772
00773,Luquillo,PR,18.3744,-65.7168,-6,0,773
00775,Culebra,PR,18.3053,-65.3114,-6,0,775
00777,Juncos,PR,18.2339,-65.9218,-6,0,777
00778,Gurabo,PR,18.2551,-65.9776,-6,0,778
00780,Coto Laurel,PR,18.0474,-66.5517,-6,0,780
00782,Comerio,PR,18.2202,-66.2266,-6,0,782
00783,Corozal,PR,18.3429,-66.3176,-6,0,783
00784,Guayama,PR,17.9849,-66.1175,-6,0,784
00785,Guayama,PR,17.98,-66.1101,-6,0,785
00786,La Plata,PR,18.1564,-66.2336,-6,0,786
00791,Humacao,PR,18.1494,-65.8294,-6,0,791
00792,Humacao,PR,18.1519,-65.8279,-6,0,792
00794,Barranquitas,PR,18.1808,-66.2956,-6,0,794
00795,Juana Diaz,PR,18.0561,-66.5063,-6,0,795
00801,St Thomas,VI,18.3436,-64.9314,-6,0,801
00802,St Thomas,VI,18.3436,-64.9322,-6,0,802
00803,St Thomas,VI,18.3436,-64.9314,-6,0,803
00804,St Thomas,VI,18.3436,-64.9314,-6,0,804
00805,St Thomas,VI,18.3436,-64.9314,-6,0,805
00820,Christiansted,VI,17.7473,-64.7041,-6,0,820
00821,Christiansted,VI,17.7488,-64.7039,-6,0,821
00822,Christiansted,VI,17.7488,-64.7039,-6,0,822
00823,Christiansted,VI,17.7488,-64.7039,-6,0,823
00824,Christiansted,VI,17.7488,-64.7039,-6,0,824
00830,St John,VI,18.3328,-64.7926,-6,0,830
00831,St John,VI,18.3333,-64.7943,-6,0,831
00840,Frederiksted,VI,17.7135,-64.8827,-6,0,840
00841,Frederiksted,VI,17.7147,-64.8818,-6,0,841
00850,Kingshill,VI,17.7193,-64.8336,-6,0,850
00851,Kingshill,VI,17.7253,-64.7836,-6,0,851
00901,San Juan,PR,18.4639,-66.1098,-6,0,901
00902,San Juan,PR,18.4465,-66.0984,-6,0,902
00906,San Juan,PR,18.4083,-66.0644,-6,0,906
00907,San Juan,PR,18.4559,-66.0777,-6,0,907
00908,San Juan,PR,18.4462,-66.0799,-6,0,908
00909,San Juan,PR,18.4452,-66.069,-6,0,909
00910,San Juan,PR,18.4406,-66.0687,-6,0,910
00911,San Juan,PR,18.4527,-66.0579,-6,0,911
00912,San Juan,PR,18.4475,-66.0594,-6,0,912
00913,San Juan,PR,18.4509,-66.0447,-6,0,913
00914,San Juan,PR,18.4458,-66.0159,-6,0,914
00915,San Juan,PR,18.4393,-66.0493,-6,0,915
00916,San Juan,PR,18.378,-66.1638,-6,0,916
00917,San Juan,PR,18.4238,-66.0515,-6,0,917
00918,San Juan,PR,18.417,-66.0617,-6,0,918
00919,San Juan,PR,18.4128,-66.065,-6,0,919
00920,San Juan,PR,18.408,-66.0933,-6,0,920
00921,San Juan,PR,18.3905,-66.0903,-6,0,921
00922,San Juan,PR,18.4076,-66.0925,-6,0,922
00923,San Juan,PR,18.4125,-66.0374,-6,0,923
00924,San Juan,PR,18.4051,-66.0126,-6,0,924
00925,San Juan,PR,18.4067,-66.0993,-6,0,925
00926,San Juan,PR,18.3754,-66.0577,-6,0,926
00927,San Juan,PR,18.3878,-66.0742,-6,0,927
00928,San Juan,PR,18.392,-66.0624,-6,0,928
00929,San Juan,PR,18.4008,-66.0262,-6,0,929
00930,San Juan,PR,18.4083,-66.0644,-6,0,930
00931,San Juan,PR,18.4083,-66.0644,-6,0,931
